desagradar desaguar
xumar exigir
xtraviar extremidad
xtraordinário extravagante
xtravagante extraviado
xtrair extranjero
xterno extirpar
xtorsão extradición
xtraditar extraer
xtirpar extorsión
xterminar extermínio
xtermínio externo
xterior exterminar
xplícito exploración
xpressão expresivo
xpulsar exquisito
xtensivo exterior
xposição expresión
xpressivo exprimir
xportar exposición
xplicação explicar
xploração explorar
xplosão explotación
xplorar explosión
xpirar espíritu
xplicar explícito
xerofagia xerofagia
xigir eximir
xortar exhumar
xpectativa expedición
xpelir experiencia
xperimento expirar
xpedição expeler
xpansão expectativa
xpandir expansión
xilófilo xilófilo
xistir éxito
xorbitante exorcismo
xorcismo expandir
xistência existir
xilógrafo xilógrafo
ximir existencia
xilófono xilofone
xilografía xilografia
xiloide xilóide
xiloma Xiloma
xilográfico xilográfico
xileno xilênio
xerófilo xerófilo
xerófito xerófito
xibir exhortar
xerografía xerografia
xerosis xerose
xerostomía xerostomia
xerografiar xerocopiar
xenófilo xenófilo
xeque jerarca
xerocopia xerocópia
xenófobo xenófobo
xenón xênon
xclusivo excomulgar
xcêntrico excepción
xenofobía xenofobia
xenolita xenólito
xenofilia xenofilia
xcremento excursión
xcursão excusa
xcomungar excremento
xcitação excitante
xcluir exclusivo
xclamar excluir
xcitante excitar
xcitar exclamar
xceção excepcional
virtual irtual
volutivo exactitud
xagerar exaltación
xatidão exacto
xcentricidade excéntrico
xcessivo exceso
xcesso excitación
xcepcional excepto
xceder excelente
xcelente excentricidad
xaustivo exhausto
xausto exhibir
xato exageración
xaltação exaltar
xarope jardín
xará todavía
xasperar excavación
xaminar exasperar
xantina xantina
xame examinar
xagero exagerar
xaltar examen
vulnerabilidad ulnerabilidade
vértigo ertigem
vómito ômito
wagneriano wagneriano
watt watt
whisky Uísque
watio átio
vórtice órtice
víscera íscera
víveres íveres
vólvulo ólvulo
víspera éspera
víctima ítima
vínculo ínculo
vía ia
vulto ulto
válvula álvula
vértebra értebra
vértice értice
vándalo ândalo
vulvitis ulvite
válido álido
vulva ulva
vulpina ulpina
vulpino ulpino
vulneración ulneração
vulnerar ulnerar
vulnerable ulnerável
vudú odu
vulgarizar ulgarizar
vulgo ulgo
vuelta olta
vulgar ulgar
vuelo ôo
vorágine oragem
voz oz
vozarrón ozeirão
votar otar
voto oto
votación otação
vomitar omitar
voraz oraz
volátil olátil
volver olver
viveza iveza
vocerío ozerio
volcán ulcão
voluminoso olumoso
voluntario oluntário
voluntarioso oluntarioso
voluptuoso oluptuoso
voluntad ontade
voltio olt
voluble olúvel
volumen olume
volubilidad olubilidade
voltaje oltagem
voltear irar
volcánico ulcânico
volatilización olatilização
volcanismo ulcanismo
volcar ntornar
volar oar
volatilidad olatilidade
vociferar ociferar
vocacional ocacional
vocalización ocalização
vocativo ocativo
vocear ozear
vocalizar ocalizar
vocal ocal
vocalismo ocalismo
vocación ocação
viña inha
vocablo ocábulo
vocabulario ocabulário
viñedo inhedo
vizconde isconde
vizcondesa iscondessa
vivir iver
vistoso istoso
viticultura iticultura
viudo iúvo
vivaz ivaz
vivero iveiro
vivencia ivência
vivacidad ivacidade
vivac bivaque
vituperar ituperar
viudez iuvez
vituperio itupério
vitreo ítreo
vitola bitola
vitalício italício
vitar evolutivo
viticultor iticultor
vitelo itelo
vitamina itamina
vitamínico itamínico
vital ital
vitalidad italidade
visualizar isualizar
visón isão
visual isual
visibilidad isibilidad
vislumbrar islumbrar
vistazo olhada
visto isto
visor isor
vista ista
vislumbre islumbre
visitar isitar
visión isão
visionario isionário
visita isita
visible isível
visa isto
viscoso iscoso
visera iseira
visco isco
viscosidad iscosidade
visceral isceral
virulento irulento
virus írus
virtuoso irtuoso
virulencia irulência
virtud irtude
vincular incular
violinista iolinista
virgen irgem
virilidad irilidade
virola irola
virginidad irgindade
viril iril
virginal irginal
viraje iragem
virar irar
violín iolino
violón iolão
violoncelo ioloncelo
vino inho
violento iolento
violeta ioleta
violación iolação
violentar iolentar
vinícola inícola
vinicultor inicultor
vinicultura inicultura
vindicar ingar
vindicta indita
vindicación indicação
vicioso icioso
vigente igente
vileza ileza
villanía ilania
vinculación inculação
vinagre inagre
vilipendio ilipêndio
villano ilão
vilipendiar ilipendiar
vigor igor
vihuela iola
vil il
vigoroso igoroso
vigilar igiar
vigilia igília
vigilancia igilância
vidente evitar
viento ento
viga iga
vigencia igência
vientre entre
vidência evidente
viejo elho
vidrio idro
vid ideira
vida ida
videncia idência
victorioso itorioso
vicuña icunha
victoria itória
viabilidad iabilidade
viandante iandante
viciar iciar
vicio ício
vibración ibração
vibrar ibrar
vibora íbora
viajar iajar
viaje iagem
viaducto iaduto
viajante iajante
viable iável
veterano eterano
vetusto etusto
vez ez
veterinario eterinário
veto eto
veterinaria eterinária
vestuario estuário
vestíbulo estíbulo
vestimenta estimenta
vestir estir
vestigio estígio
untura coz
vasão evasivo
venoso enoso
verga erga
versátil ersátil
verter erter
verídico erídico
vespertino espertino
vertiente ertente
vertiginoso ertiginoso
vertical ertical
vertedero despejo
vertedor ertedouro
vertebrado ertebrado
vertebral ertebral
versículo ersículo
vermifugo ermífugo
versar ersar
versión ersão
verso erso
versatilidad ersatilidade
verruga erruga
verosímil erossímil
verme erme
vermicida ermicida
vergüenza ergonha
verificar erificar
vergel ergel
veraz eraz
verdadero erdadeiro
vereda ereda
veredicto eredicto
verdugo erdugo
verdura erdura
verdor erdor
verborrea erborréia
verdad erdade
verbena erbena
verbo erbo
verbal erbal
vento eventual
ventual evidencia
veracidad eracidade
verano erão
venéreo enéreo
ver er
ventura entura
ventral entral
ventrílocuo entríloquo
ventrudo entrudo
ventosa entosa
ventoso entoso
ventolera lufada
ventilación entilação
ventilar entilar
ventisca evada
ventilador entilador
ventanilla guichê
ventarrón endaval
ventear entar
ventar entar
ventaja antagem
ventajoso antajoso
venta enda
velocímetro elocímetro
veneración eneração
venia ênia
venidero indouro
venir ir
venida inda
vengador ingador
vengar ingar
vengativo ingativo
venganza ingança
venerar enerar
venezolano nezuelano
venerando enerando
vencimiento encimento
vendimia indima
venenoso enenoso
venerable enerável
vendimiar indimar
veneno eneno
vendimiador indimador
vendaval endaval
vendedor endedor
vendaje bandagem
vendar endar
venda enda
venado eado
vencedor encedor
vencer encer
venalidad enalidade
venatorio enatório
venal enal
velódromo elódromo
vena eia
velocípedo elocípede
veloz eloz
vela ela
vello elo
vellón tosão
velocidad elocidade
vellocino elocino
velludo peludo
veleidoso eleidoso
veleta eleta
velar elar
veleidad eleidade
velamen elame
vegetal egetal
veinte inte
vejez elhice
vejiga bexiga
vejar exar
vejatorio exatório
vejamen exame
vehemencia eemência
vehículo eículo
vegetariano egetariano
vegetativo egetativo
vegetar egetar
vecindad izinhança
vega eiga
vegetación egetação
vector etor
vedar edar
vecino izinho
vatio watt
vecinal icinal
vaticinar aticinar
vaticinio aticínio
vaticano aticano
utanásia evacuación
valer aler
vangelho evaporar
variante ariante
varón arão
vascular ascular
vasija asilha
vastedad astidão
vasto asto
vasivo evento
vaselina aselina
vasallo assalo
vasco basco
vasallaje assalagem
variedad ariedade
vario ário
varonil aronil
varilla arinha
varice ariz
varicela aricela
variar ariar
vaporizador aporizador
vara ara
variable ariável
variación ariação
varear arejar
vaporoso aporoso
vaquero aqueiro
vaporizar aporizar
vano ão
vaporar evasión
vaporización aporização
vapor apor
vanidad aidade
vanguardia anguarda
valorizar alorizar
valvar alvar
vampiro ampiro
vanaglorioso anglorioso
vandalismo andalismo
vanagloria anglória
valía alia
valuar avaliar
valva alva
valsar alsar
valuación avaliação
vals alsa
valioso alioso
valorar alorizar
valorización alorização
valor alor
valoración aloração
valle ale
valient alente
valija alise
validar alidar
validez alidez
valeroso aloroso
vacuar evadir
vagido agido
vaina agem
vale ale
valentía alentia
vaivén aivém
vajilla asilha
vainilla baunilha
vagoneta agonete
vagón agão
vaginal aginal
vago ago
vagina agina
vacío azio
vagabundo agabundo
vagar agar
vado au
vagabundear agabundear
vadir evaluar
vacuna acina
vacunar acinar
vacuo ácuo
vacunación acinação
vacuidad acuidade
vacuação evacuar
uvem nublado
uíço sujeción
vacación érias
vaciadero ertedouro
vacilación acilação
vacilar acilar
vaciar svaziar
vacante acante
uñada unhada
vaca aca
uña unha
uzilamento fusilar
uzileiro fusión
uão truncar
uzilar fusilero
uvular uvular
uxoricidio Uxoricídio
uzil fusilamiento
uxoricida uxoricida
uvial población
utrir nutritivo
uturar tabacalero
utônio pluvial
uva uva
utópico utópico
utrição nutrir
utura suturar
utritivo ñagaza
utileza sutura
utilidade futuro
utilización utilização
utopía utopia
utilizable utilizável
utilidad utilidade
util sutileza
utensilio utensílio
urioso furor
urúnculo forzado
uspiro sustancia
ustigar fútil
usão fustigar
usível fusil
uta truco
usual usual
usufructo usufruto
usura usura
usuario usuário
usto susurro
ustentação sustentar
ustento sustitución
ustentar sota
ussurro sutil
uspeitoso sostener
uspicácia suspicaz
uspirar suspiro
uspensão suspicacia
uspicaz suspirar
uspender suspensión
uspeita sospechar
uspeitar sospechoso
uspeito suspender
uscetível suscitar
uscitar suscribir
uso intuición
usanza uso
usar usar
usado usado
urso ostentación
uréter ureter
urólogo urologista
urópodo urópode
urtivo fusible
urémico urêmico
urtiga ortodoxia
urticaria urticária
urpresa sorteo
urrealista surtir
ursa ursa
urrealismo surrealista
uror furtivo
urpreendente sorprender
urpreender sorpresa
urología urologia
urológico urológico
urna urna
uportar soporte
urchar marchito
urdo sorgo
uribundo furioso
urinar oriundo
urinol orinar
urina orinal
urgencia urgência
urgir suroeste
urgente urgente
uremia uremia
uretral uretral
urea uréia
urdina sordo
urdir urdir
urdez sordidez
urdidura urdidura
urcho marcial
ural plutonio
urbanizar urbanizar
urbanístico urbanístico
urbe urbe
urce urze
urbano urbano
urbanidad urbanidade
urbanización urbanização
uranio urânio
upremo supresión
uprir suponer
upérfluo superintendente
uque truculencia
upurar sur
upressão suprimir
uprimir supurar
uposição supositorio
upremacia supremo
uportável soportar
upositório supremacía
uporte sor
uperior superioridad
uperstição supersticioso
uplemento suplencia
uplência súplica
uplício suplir
upor suposición
uplicar suplicio
upervisão supervisor
uplantar suplementario
uplementar suplemento
uperável superar
upervisionar supervisión
upervisor supervivencia
upervalorizar supervisar
uperpopulação superponer
uperposição superstición
upersticioso supervalorar
uperlativo supermercado
upermercado superpoblación
uperioridade superlativo
upcial nupcias
uperficial superfícialidad
uperfície superfluo
uperintendente superior
uperficialidade superfície
uperar superficial
unção funcional
uor sueco
unísono uníssono
unuco eutanasia
unánime unânime
udança camelia
ulto buque
undial mundo
unidad unidade
universal universal
unión união
untuosidade suntuoso
untuoso superable
untar untar
untoso untuoso
universidad universidade
universitario universitário
universo universo
universalización universalização
unigénito unigênito
unir unir
unitario unitário
unionismo unionismo
unionista unionista
unilateral unilateral
uniformar uniformizar
uniformidad uniformidade
uniforme uniforme
unificar unificar
unificación unificação
uneral funesto
unicelular unicelular
unicornio unicórnio
unicolor unicolor
ungüento ungüento
unesto furia
undular ondular
undécimo undécimo
undulatorio ondulatório
undoso undoso
undulación ondulação
undo muñeco
umigar función
uncionar fundación
undamento fundar
undação fundador
undar fúnebre
undamental fundamentar
undamentar fundamento
unción unção
undador fundamental
uncir jungir
umérico número
unciatura nuncio
uncional funcionar
unca nunciatura
uncar tuba
unanimidad unanimidade
umismático nunca
umário sumergir
umo suntuosidad
umigação fumigar
umir sumisión
umagem plúmbeo
umerar numérico
umeração numeral
umeroso numismático
umar fumigación
umeral numerar
umbilical umbrío
umante fumar
ultrapassar sobrepelliz
ultão sultana
uma plumaje
ulular umbilical
ultravioleta ulular
ultraje ultramarino
ultramarino ultravioleta
ultrajar ultraje
ugitivo fulgurante
ulgurar fulminación
ultar multicolor
ultidão mucosa
ultiplicar múltiplo
ultiplicação multiplicar
ultimato último
ulticor multiplicación
ulterior ultimátum
ulminar fumador
ulo multa
ultana sultanato
ultanato suma
ulta multar
ulminação fulminante
ulherengo mula
ulino sureste
ulminante fulminar
ulidade nulo
ulher mujeriego
ulato muleta
ulco sureño
ulfato sulfito
ulgurante fulgurar
ulfito sultán
uleta mullir
ulcerar ulceroso
ulceração ulcerar
ulceroso ulterior
ulcar surco
ujo suculento
ula mulato
ulamericano sudar
ul surcar
ujeitar sujeto
ujeição sujetar
ujeito sulfato
uicídio suizo
ujeira sucinto
uicida suicidio
uficiência suficiente
ugal cónyuge
ugestão sugerir
ugido mugir
ugir mujer
ugaz fugitivo
ugestionar sugestivo
ugestivo suicida
ugerir sugestión
ugar sucedáneo
ufocar sofoco
ufoco sofreír
uforia eunuco
ufrágio sugerencia
ufocação sufragio
ufocante sofocar
ufixo sufocación
udo mueblar
ueco suegro
ufania ufano
uficiente sufijo
ufano úlcera
ufa truhán
udário sudeste
udoeste sudor
udez mudo
udismo nudista
udista nudo
udação sudamericano
udeste sudoeste
udar mudez
ublar nuca
ubstituição remuneración
uca nuclear
uco jugoso
uculento juguete
ucção succionar
uda mudar
ucumbir sucursal
ucursal sudación
uculência truculento
ucosidade mucoso
ucoso muda
ucosa mucosidad
ucedâneo suceder
ucesso sucesor
ucinto sucio
uclear núcleo
ucessor suciedad
ucessivo suceso
ucalipto euforia
uceder sucesivo
ubterrâneo subtítulo
uburbano suburbio
ubversão subversivo
ubíquo ubiquidad
ubúrbio subvención
ubérrimo ubicación
ubvenção subvencionar
ubversivo subyacente
ubvencionar subversión
ubtítulo subtropical
ubtropical suburbano
ubstrato subsuelo
ubsídio subsiguiente
ubterfúgio subterráneo
ubstância sustancial
ubstituível substituir
ubstituto substrato
ubscrever subscripción
ubsistência subsistir
ubstancioso substantivar
ubstantivo substitución
ubstituir remplazo
ubstantivar substantivo
ubstancial substancioso
ubstanciar sustancioso
ubsolo subterfugio
ubsidiar subsidio
ubsistir substancial
ubscrição subscrito
ubseqüente subsistencia
ubscrito subsidiar
ubmeter somnambulismo
ubordinação subordinar
uborno sobra
ubproduto subrayar
ubornar soborno
uboficial subordinación
ubordinar subproducto
ubmissão sumiso
ubmisso sumo
ublime submarino
ubmarino suboficial
ubmergir sumersión
ubmersão suministro
ublinhar subscribir
ublevação sublevamiento
ublimar sublime
ublevar sublimar
uar sudario
ubdiretor súbdito
ubida subir
ubjugar sol
ubjuntivo sublevación
ublado nublar
ubjugação subyugar
ubjacente subyacer
ubjetividade subjetivo
ubjetivo subjugar
ubjazer subyugación
ubir súbito
ubiqüidade ubicuo
ubentender sobrentendido
ubestimar subida
ubentendido sobrepasar
ubdividir subdivisión
ubdivisão subestimar
ubalterno subastar
ubdesenvolvido subdesarrollo
ubdesenvolvimento subdirector
ubcutâneo subdesarrollado
ubchefe subjetividad
uavidade suavizar
uavizar subalterno
têmporas sierra
título tiza
tórtola rola
túmulo tumulto
túnica tupé
túrgido turismo
túnel túnica
tônico tonificación
túmido tumor
tóxico tóxico
tórax tórax
tórrido tórrido
tópico tópico
tíbia tibieza
típico tiple
tísico tisis
títere titubear
tísica titán
tímido timón
tímpano tina
tíbio tiburón
têxtil texto
tí1ia tildar
tênis tenor
tênue teología
tênia teñidura
tácito taciturno
tâmara dativo
tédio tedioso
tétano tétrico
têmpera templo
tétrico textil
térmico terminal
término termómetro
téreo eternidad
técnica técnico
técnico tecnocracia
tão tañer
tática táctico
tátil tacto
táxi taxímetro
tático táctil
tálamo talar
tártaro tasa
turvo turbión
tutela tutelar
tutor tutoría
tábua tablado
tutoria tuyo
tutelar tuteo
tutear tutela
tuteio tutor
tutano tufo
turbulência turbulento
turismo turista
turno turquesa
turquesa tutear
turista turno
turgente túrgido
turgência turgente
turco turgencia
turbina turbio
turbulento turco
turbar turbina
turbante turbar
squilo ardor
testa fresa
tractor ator
trascendencia anscendência
traumatismo aumatismo
tráfico áfego
tuberoso tubo
tuitivo tul
tumba tumbar
tumulto tumultuoso
tumultuoso tundra
tundra túnel
tumefação tumefacto
tumor túmulo
tumefacto túmido
tule tulipán
tulipa tullir
tuição tuitivo
tubérculo tuberculosis
tufão tifus
tugúrio tuición
tucano tuerto
tubo tubular
tubular tucán
trémulo êmulo
tuberculose tuberculoso
tuberosidade tuberoso
tuberculoso tubería
tubarão tiempo
tuba tubérculo
tránsfuga ânsfuga
trébol evo
tránsito ânsito
trámite âmite
trágico ágico
tremebundo emebundo
trepar epar
trepidante epidante
tres ês
trescientos treta
trepidar epidar
trepidación epidação
trenza ança
trepanación epanação
trepanar epanar
trenzar ançar
tremor emor
tren em
tremendo emendo
trayectoria ajetória
trecho echo
tregua égua
treinta inta
trefilar efilar
trazo aço
trece eze
trazar açar
travesía avessia
travieso avesso
trayecto ajeto
traviesa avessa
travestí avesti
travesura avessura
traumático aumático
trasmutar ansmutar
trasposición ansposição
tratamiento atamento
trato ato
trauma auma
tratar atar
trasudar ansudar
tratable atável
tratado atado
trasversal ansversal
trastornar anstornar
trastorno anstorno
traste aste
trasplante ansplante
trasportador ansportador
trasportar ansportar
trasponer anspor
trasparencia ansparência
traspaso aspasse
trasplantación ansplantação
traspasar aspassar
trasnochar esnoitar
trasparecer ansparecer
trasnochado esnoitado
trasformar ansformar
trasmitir ansmitir
trasmontar ansmontar
trasmutable ansmutável
trasmontano ansmontano
trasladar ansladar
traslucirse ansluzir
traslúcido anslúcido
traslinear anslinear
trashumar ansumar
traslación anslação
trasfusión ansfusão
trasferencia ansferência
trasfigurar ansfigurar
trasformación ansformação
trasferir ansferir
trascribir anscrever
trascurso anscurso
trasero aseiro
trascrito anscrito
trascendente anscendente
trascender anscender
trascendental anscendental
transcribir anscrever
transmutable ansmutável
transportar ansportar
trapecista apezista
tras atrás
trasbordo asbordo
trapero apeiro
transversal ansversal
tranvía bonde
trapecio apézio
transverso ansverso
transposición ansposição
transustanciación ansubstanciação
transporte ansporte
transpirar anspirar
transportación ansportação
transportador ansportador
transponer anspor
transparentar ansparecer
transpirable anspirável
transpiración anspiração
transparente ansparente
transmutar ansmutar
transoceánico ansoceânico
transmutación ansmutação
transfundir ansfundir
translación anslação
transmisor ansmissor
transmitir ansmitir
transmisión ansmissão
transición ansição
transitar ansitar
transitorio ansitório
transigir ansigir
transgresión ansgressão
transgresor ansgressor
transgredir ansgredir
transfigurar ansfigurar
transformador ansformador
transformar ansformar
transformación ansformação
transcurso anscurso
transferencia ansferência
transferir ansferir
transexual ansexual
transcripto anscrito
transcurrir anscorrer
transcripción anscrição
tralla corda
tranquilidad anqüilidade
transcendental anscendental
transcender anscender
transcontinental anscontinental
transcendente anscendente
transatlántico ansatlântico
transbordo ansbordo
transcendencia anscendência
transbordar ansbordar
tranquilo anqüilo
transacción ansação
tranquillo jeito
tramposo apaceiro
trancar ancar
trance anse
tranca anca
tramoya amóia
trampear apacear
trampolín ampolim
trampa armadilha
tramar amar
tramitación amitação
trama ama
tragaluz clarabóia
traición aição
trainera aineira
trajinar ansportar
traidor aidor
trago gole
traicionar air
tragedia agédia
tragicomedia agicomédia
tragar agar
traducir aduzir
traficar aficar
tragadero goela
traficante aficante
traer azer
tradición adição
traducible aduzível
traducción adução
tradicionalista adicionalista
tradicional adicional
tojo toldar
tormento tormento
tortura tortura
touca tocador
trabajo abalho
trabe ave
tracoma acoma
tracción ação
trabazón avamento
trabar avar
traba ava
trabajar abalhar
trabajador abalhador
tozudo teimoso
toxina toxina
toser tossir
totalidad totalidade
totalitarista totalitarista
totalizar totalizar
totalitario totalitário
tostar tostar
total total
tostadura tostadura
torácico torácico
tosco tosco
tortícolis torcicolo
torzal torçal
torturar torturar
torpe torpe
torrão tertulia
tortilla omelete
tortuga tartaruga
tortuoso tortuoso
torto tuétano
torso torso
torsión torção
torpor torpor
torre torre
torrencial torrencial
torrar torrar
torpedo torpedo
torpeza torpeza
torpedear torpedear
torniquete torquinete
tornozelo tobogán
toronja toranja
torno torno
tornar tornar
torneo torneio
tornillo parafuso
tornasol girassol
torna olta
tornado tornado
tormentoso tormentoso
tonsurar tontada
topónimo topônimo
torear tourear
toril touril
tormenta tormenta
torero toureiro
torbellino torvelinho
torcido torcido
torda torda
torcaz torcaz
toquetear apalpar
torada tourada
toque toque
tope topo
topografía topografia
topógrafo topógrafo
topo toupeira
topete turbante
topacio topázio
topar topar
tontice tontear
tonto tonto
tontear tontería
tombadilho toldo
tonelagem tonelero
tonificação tonificar
tonsura tonsurar
toneleiro tónico
tonificar tono
tonal tonalidad
tonel tonelada
tonelada tonelaje
tonalidade tonel
tomo tonada
tombar tumefacción
tolher toma
tomar tomate
tomate tomatera
tomateiro tomo
tom tonsura
tomada tomada
tolice tonto
tolerante tolerar
tolerável tolerancia
tolerância tolerante
tolerar tollir
toldo tolerable
toldar toldilla
tintura teñir
tiro tiroides
tnia eucalipto
tocha ántrax
todopoderoso toga
toga tojo
todo todopoderoso
tocador tocar
tocar tocayo
toalha mantenedor
tobogã toca
toada tonal
titubeio titular
titã titánico
tlim tillar
tição toalla
titânico titanio
titânio títere
titular título
tisana tísico
titubear titubeo
tisnar tizón
tirânico tiranizar
tiroteio tisana
tirada tirador
tirar quite
tiritar tiro
tireóide tirón
tirania tiránico
tiranizar tirano
tirano tirantez
tiragem tiranía
tipografia tipógrafo
tira tirada
tipógrafo tira
tio tiovivo
tipo tipografia
tiple tipo
tintureiro tintura
tinturaria tintorero
teísmo teísta
tijolo ladrón
tingir tenis
tinteiro tintín
tintim tintorería
tinta tintero
timão timonero
tina tiniebla
timoneiro timorato
timorato tímpano
til tilín
tiara tibia
tifo tigre
tigre tigresa
tigresa tijera
tifóide tifón
tibieza tibio
teórico terapia
tia tiara
teísta teja
tetravô tataranieto
textual textura
texugo telar
tez tía
textura tez
texto textual
testículo testigo
teto tecla
tetraneto tatuaje
teta tétano
testemunha testimoniar
testemunho testudo
testudo testuz
testemunhar testimonio
testamento testarudo
tapa etéreo
temperar adobe
terciário tercio
ternidade eterno
terrífico territorial
terçol osadía
tesouraria tesorero
tesoureiro tesoro
tesouro testamento
teso tifoideo
tesoura tila
tese tesón
terçar terciario
terço terciopelo
terrível terrífico
tertúlia tesis
terrestre terrible
terror terrorismo
terrorista terroso
terroso terruño
terrorismo terrorista
território terror
territorial territorio
terreal terreno
terremoto terrenal
terreno terrestre
ternura terquedad
terra tieso
terno ética
termas térmico
terminar término
termômetro termostato
termostato ternero
terminal terminar
tergiversação tergiversar
termal termas
tergiversar termal
tentativa intercalar
ter tenia
terceiro tercero
terceto terciar
terapia tercer
teológico teorema
teorema teoría
teoria teórico
teor tentación
tentáculo tentar
teologia teológico
tentação tentáculo
tendente tender
tendão tenebroso
tensão tirar
tentar intento
tenebroso tenedor
tender tendón
temático temblar
tenazes tenaz
tendencioso tendente
tenda tierno
tenacidade tenacillas
tenaz tendencioso
temível temor
templo temporada
temporada temprano
tempo tienda
tempestade tempestuoso
tempestuoso templado
temperatura tempestad
taxista taza
telegrafar telegrafista
televisão televisivo
temer temerario
temor temperatura
temperado templanza
temperança templar
temeroso temible
temerário temeridad
temeridade temeroso
telhado tejar
telégrafo telegrama
tema temático
telhar tejer
telha tejado
telex tema
telepático telescópico
teletipo televisión
televisivo televisor
televisor télex
telescópio telespectador
telespectador teletipo
telescópico telescopio
telejornal telefax
telenovela telepático
telegrafista telégrafo
telegrama telenovela
telegrafia telegrafiar
tecnocrata tecnología
telefax teleférico
telefonista teléfono
teleférico telefonía
telefonia telefonista
telefone telegrafia
teia teatral
teimoso tergiversación
telecomunicação telediario
teimosia terrateniente
tecnológico tedio
tedioso teísmo
tecnologia tecnológico
tecla teclado
teclar técnica
tecnocracia tecnócrata
